Freshness,Review
fresh," It is odd, unsettling and told with humour so dark you are not sure whether to howl with laughter or take grave offence. It is also a mournful reflection on the search for hope in a world conspiring to make such a quest a foolâ(TM)s errand."
fresh," The deadly sins of envy, lust and salacious gossip in deepest rural England provide the motor for Stephen Frears's black romp, featuring vivacious former Bond girl Gemma Arterton in the title role of the youthful scribe."
fresh," Ambitious and slightly lengthy, the film presents a sequence of events that, though in hindsight a bit of a muddle, leaves an unforgettable impression of a fascinating couple."
rotten, There's just not enough there to sustain interest.
fresh," The accents may be difficult, but the message is clear."
fresh, an elegant and illuminating work
rotten," The film unfortunately depicts black female sexuality, a topic rarely portrayed onscreen, with all the depth and subtlety of a late night Cinemax offering."
rotten," So convoluted that its protagonists have to regularly stop and shout out what ""must"" be done to ensure all the 10-year-olds in the audience don't get hopelessly confused."
rotten, A movie this adolescently dirty-minded could hardly pass up a chance to go to Lake Titicaca.
fresh, The creepy creativity does not fall far from the twisted tree in the filmmaking realm of writer-director Brandon Cronenberg...his impishly venomous vehicle percolates in the macabre mannerisms of his proud papa [David}...
rotten," The musical moments, on the whole, stand out as the highlights of the film; Rio 2 becomes watchable when the flat characters shut up and sing."
rotten," A comic-book flick through and through, with writing and a visual style that emulate the panels of graphic storytelling. This is both good and bad."
rotten," After Fantastic Beasts 2, J.K. Rowling should evaluate the road in which her wizarding world will go and analyze which voices will count. [Full Review in Spanish]"
rotten," Ocean's 8 is the all-female spin-off of the all-male Ocean's trilogy and it's a sop, with a third act that drags like nothing on earth."
rotten, Chaos -- and a bad script -- threaten the human race.
rotten," With this film you feel like it owe you something, that the idea could share or show more and the characters and their experiences deserve a better portrayal. But thats a lot to ask to Russel. [Full review in Spanish]"
fresh," A bewildering introduction to the world of CB, particularly for an anime neophyte... but an enjoyable one nevertheless."
fresh," By the time ""Blue Jasmine"" arrives at one of Allen's most haunting finales, it has become a portrait of a delicate, troubled soul worthy of mention alongside Tennessee Williams."
fresh," An unnecessary remake perhaps, but a knowingly updated one, with strong work from Colin Farrell and David Tennant. This film is great fun."
rotten, All actors anxiously awaiting Oscar nominations in hopes of a career boost should go to Snow Dogs and gaze upon Cuba Gooding Jr.
fresh, Pure kindness and empathy at the heart of this biographical portrait.
rotten," This relegation of female characters to the sidelines is depressing for a film released in 2019, especially because it seems entirely possible to have a film looking at masculinity without reducing women to archetypes."
rotten, Forever After feels like a tired yank on the udders of a cash cow that's nearly dry.
fresh," In the realm of disco lights and thumping bass lines, mounting debt, hungover mornings and interchangeable sleeping partners, there's a real love story here about a man and his passion for his loops and beats."
rotten, A bad movie that could have been a lot better if it had been a little bit worse.
rotten," Offers attractive, inoffensive characters and a smattering of broad laughs, but it fails to use its potential to explore weightier themes such as John's mid-life crisis."
rotten," Based on the popular toy line, Trolls bears all the earmarks of a blatant cash-in on a recognizable property, with little imagination to speak of and predictable creative choices from beginning to end."
rotten, The Forger proves to be a completely counterfeit crime thriller.
rotten," Sandler and his writing partners jump from one crude gag to the next without a trace of a plot or narrative sense. This would be OK if any of the jokes were remotely funny, but they're mostly retreads of the bad jokes from the first movie."
rotten," Shrieking and ugly and tedious and soft-headed, not even giving the thin comfort of being hilariously bad."
rotten," a shallow, cliched biopic treatment from...Jalil Lespert. Niney is incredibly well matched physically to Saint Laurent but it is Gallienne who creates the more memorable character here"
fresh, Never says much about the marital institution that is fresh.
rotten," Some of the segments are more successful than others, but all of them could do with better actors."
rotten," It might help if screenwriters Trevor De Silva and Kevin Hood could hold to a consistent point of view, but it's never clear whether they and their director are playing these (largely fictionalised) proceedings straight or for satiric value."
rotten, There are laughs to be had in their cutting loose: Hahn's disdain and deadpan delivery are irresistible. But the film is too soppy and glossy to have us believe that motherhood is anything but a doddle.
rotten," It shorts its audience on the rich and vibrant experience it continually hints at, and for a horse that is rightly regarded as one of the greatest pure athletes who ever lived this is one race Secretariat doesn?t win."
rotten," You may jump and wince a couple of times, but only because the soundtrack features a few loud bangs that are cranked up beyond pain threshold."
rotten," Despite some strikingly flourishes, von Trier's latest makes him look less like a mad genius and more like he's simply, mad."
fresh," If you like that kind of banal, rustic and sophomoric humor (and I have to admit, I kinda do), it might be worth a buck or two at a discount theater."
rotten," With no narration or context, its subject matter comes across as dry, while the enviro-message is undermined by a yawn-inducing lack of urgency."
rotten, Think of The Book of Henry as a broken Rube Goldberg machine -- all the cutesy steampunk doo-dads are for naught without proper planning to make it function.
rotten," Much of the humor is cruel, not playful. (Lubricant replaced with glue? Try imagining that without clinching.)"
fresh," On the one hand, this is an inspirational movie about the power of journalism. On the other hand, it is a solemn reminder of the utter destruction that war can bring."
fresh, Mega Time Squad is an event that should be repeated.
rotten, This is one dumb sci-fi comedy that doesn't work in either genre.
fresh," [Inglorious Bastards] is pure cinema, pure theater, and entertaining"
rotten," The laughs are hit-or-miss, occasionally buoyed by Galifianakis' random absurdity or a surprising sight gag but otherwise unremarkable."
fresh," Like Drive, this is a film whose powerful visual style and hypnotic soundtrack help build the narrative up to a point which it might not otherwise have reached. "
rotten," From top to bottom, Fireworks is far too complicated, and frustratingly trite."
fresh, The result is completely intoxicating.
fresh," Filled with pomp and energy, RBG is a crowd-pleaser. "
fresh, Bertolucci never made another film that even came close to The Conformist
rotten," Chazelle and Singer have created a grueling, prosaic, state-of-the-art docudrama (no imagination allowed) with the heart of a male weepie."
fresh," This is an utterly human movie, the sort of character-driven project that's harder and harder to find these days."
rotten," Through interviews, court footage and backstage glimpses of rehearsals and performances, Bolshoi Babylon tells this story adequately, if unimaginatively."
rotten, Space Jam is so obviously a work of the marketing/demographic-hunting mentality that it's rather surprising to find that the brazen creature gathers a certain charm as it rolls along.
fresh, ...the end result is an effort that'll surely have a much more positive effect on fans than on neophytes to the Lizzie McGuire saga.
rotten," Its characters are unrecognizable to those of us inhabiting the real world, and despite its mounds and mounds of dialogue, it ultimately doesn't have a sticking thought in its pretty head."
fresh, Commandingly demonstrates that [Paul] Schrader is still worth listening to.
fresh, Staggeringly unsexy but strangely compelling.
rotten, Elwes in particular chews so much scenery I'm surprised any of the set was left for them to shoot the movie on.
fresh," Though somewhat slow out of the starting blocks, this finally caustic drama, set in early 1980s Bratislava (then in Czechoslovakia), accumulates power and insight as it builds over the course of a tense parents-teachers conference."
fresh," Develops some of that restlessness reminiscent of the tormented Blanche DuBois in Tennessee Williams' classic play, A Streetcar Named Desire."
rotten, Deep under the skin of this shrug of a movie is a solid metaphor rooted in an appealing fantasy.
rotten," Given all its volatile and exhilarating ingredients, it's disappointing that Race doesn't have greater impact."
fresh, A cunning spy thriller!
rotten," Sounds intriguing, but the actual movie is strangely plain, eyesore-overlit and uselessly frantic."
fresh," Self/less is enjoyable enough as a sleek and lightweight B movie, but it falls far short of the smart, searching futuristic morality tale it could have been."
rotten," The under-utilised 3D adds little to this prequel, which only serves as a sore reminder of the brilliance of the original films."
fresh, The result is that rarest of things -- a heartwarming love story that bears not a trace of cheap feeling or false emotion.
fresh," Blade Runner has only gotten better with time. Do yourself a favor and pass over anything new in theaters and go for this old classic, it still has the power to dazzle and amaze."
fresh," The magnificence of Weisz's performance is that she is never hiding anything, beyond what a 19th century woman might conceal out of polite reserve. In her every moment on screen, she is an open book. We're just not seeing all her pages."
rotten," It is a credit to this biopic that its leading man, Demetrius Shipp Jr, is an adequate double for the rapper and actor Tupac Shakur. Beyond that, there's little to be said for Benny Boom's film."
fresh, The connoisseur of filth within me is pleased to report how wonderfully nasty much of the felted proceedings here are to behold.
fresh, Boasts at least two artists at the top of their respective games -- namely filmmaker Peter Weir and actor Russell Crowe -- collaborating on a constantly compelling picture.
fresh," William Friedkin's adaptation of William Peter Blatty's novel, with a screenplay by the author, is a dead-serious meditation on the struggle between good and evil."
fresh, The chimp is adorable and the movie is just okay. It needed something to make it special and not just good.
rotten," The film is hysterical but inorganic, lacking blood, sweat, or tears."
fresh," Fragmented, insistent, erratic, the way this film unfolds eventually becomes an approximation of post-modern city life itself."
rotten, White Settles has little to offer. [Final review in Spanish]
rotten, The film's by-committee script is to blame for a cringe-worthy movie that could have worked much better had the younger characters been just a few years older.
fresh," But even with its flaws, The World's End serves up a wild plot, a boisterously engaging ensemble, and a sincere exploration of what friendship is. "
fresh, ... a heartfelt yet flawed look at the frailties of being human in a desperate time.
rotten," A slick heist tale with more twists than sense, this is one movie that ends up outsmarting itself."
fresh," This is X-Men and you shouldn't expect to be blown away by both the plot and action, but you can fully expect a plot that works much better than the reports are stating."
rotten," A guaranteed tear-jerker that serves as a decent reminder of America's very own Apartheid, it's fine as a slice of history. As a story though, it's sadly underwhelming."
fresh," Prometheus is atmospherically dazzling in a way that makes your eyeballs want to have a cigarette, zip up their pants and go out for breakfast afterwards."
rotten, This film is a fawning biopic that adds a thousand details to a portrait of Snowden that are only relevant if your goal is becoming president of the Edward Snowden fan club.
rotten," Garth Jennings's Sing effectively acknowledges early on that it's following a completely unoriginal formula, and yet carries on regardless."
fresh," It's a wonderful and spectacular film, shot from a child's point of view, though it is maybe too dark for children."
fresh," 30 Days of Night turns so monotonous and repetitive that, by the end, you feel as if you've lived through an entire month of Black Sundays."
rotten," Noomi Rapace tries her best to prop up this flatly generic, offputtingly chintzy action thriller."
rotten," ... we need to create memorable, endearing characters and stories that stay with one after the credits roll. [Full review in Spanish]"
fresh," The moral of the story in Equalizer 2 is that if you don't find yourself on Robert McCall's bad side, you're likely to be okay."
rotten," Next Friday, after its midway mark, just lumbers until it fizzles out."
fresh, The original version of the oft-filmed science fiction horror is still the most insidious alien invasion film ever made.
fresh," A dig through [Clark] Terry's 2011 autobiography would be more instructive, but this still does the trick."
fresh, Nick Park's Early Man is as beguiling as previous Aardman Animation films
fresh, Rod Lurie has adapted with intelligence...
fresh," Premature, if nothing else, successfully treads similar waters as Love Jones and Mo Better Blues before it while keeping the story relevant to its own time."
rotten," It's proficiently put together but decidedly derivative, right down to the Usual Suspects-esque twist ending."
rotten," An ugly, hateful and deeply unfunny bit of hackwork that not only stinks on its own but also tarnishes the reputation of a genuinely funny and inspired comedy."
fresh, Your blood will curdle and boil.
rotten," If this was a tiny bit smarter (think Desperado, or even Kill Bill Vol. 1) or a whole lot dumber (Machete), it would be so much nearer to hitting its target."
rotten," It's not the idea, but the execution that is bothersome. It's totally predictable."
fresh," The movie never feels long, partly because of Azabal's terrific performance."
fresh," Wes Anderson's seventh feature is a delight from start to finish, thanks to a wonderful script, a typically fabulous soundtrack, achingly stylish direction, gorgeous production design work and terrific performances from a superb cast."
fresh," A well-acted and surprisingly affecting thriller, all things considered, and a satisfying mystery, if not a shocking one."
fresh," This might not be an entirely accurate history lesson, but it's certainly an entertaining one. "
rotten," There are a couple of intriguing ideas floating around here and there, but that's all they do -- float around, unmoored by any sense of reality and, thus, suspense."
rotten," As is often the case, a lot of the freshness so abundant in the original is all but gone now from Hotel Transylvania 3: A Monster Vacation."
rotten," With its beautiful images and its overwhelming gravitas, it feels like a movie with a message. Unfortunately, on the way to delivering that message, it becomes weighted down by its own dreary self-importance. "
fresh, A pleasant diversion that vanishes from your mind right after you watch it.
fresh," When all of the movie's elements are working together -- the familiar characters and story, and the eye-catching special effects -- it's a wonderfully entertaining ride."
fresh, Teen Titans GO! to the Movies might be aimed at fans of the manic and underrated Cartoon Network show but any parent who tags along will likely chortle as the film gleefully skewers the world of superheroes and the film industry itself.
fresh, Reynolds takes suffering for your art to unimaginable new depths in this truly underground chiller. As he excels at reaching into the theater and grabbing viewer minds. Which gives a radically new meaning to the notion of being embedded in a war zone.
rotten," The latest James Bond flick falls as flat as Tomorrow Never Dies, with decent action sequences and bad soap opera acting."
rotten," The spirit of inconsequential whimsy prevails throughout, with recurrent shots of traffic and the New York skyline helping blend different sensibilities into a multinational soup."
rotten, The blooper outtakes over the end credits are funnier than the entire movie.The standout cameo belongs to J.B. Smoove playing a... 
rotten," With no real sense of danger or urgency, the ""adventure"" of the Dawn Treader remains as by-the-books and generic as ever."
fresh," My resistance to summer blockbusters crumbled like a collapsing skyscraper in the face of this big, loud, exuberantly destructive movie."
fresh," Blades of Glory is directed by the two guys who make the Geico caveman commercials. They haven't made a first-rate Ferrell comedy, but they do understand the kind of absurdism and physical comedy prized by his fans."
fresh," The joy in watching ""American Made"" is considerably driven by Cruise's wide-eyed astonishment with every twist and turn happening to Seal. This is a role that was tailor-made for the 55-year-old-actor."
rotten," A succession of misadventures and misunderstandings, without which there would be no plot, land Sawyer in a psychiatric hospital, which is just as clearly the worst possible place for someone who keeps insisting on her sanity."
fresh, We Are the Best! seems like [Moodysson's] clearest vision to date.
rotten, The movie seems content to operate without a soul.
rotten," In THE HUMAN CENTIPEDE, relatively standard mad scientist horror film elements combine with a truly twisted premise."
rotten," Maybe we shouldn't have expected too much from ""The SpongeBob Movie: Sponge Out of Water."""
rotten," As straight-laced as its Victorian-era setting, the film lacks gusto."
rotten," From start to finish, the movie basks in horrible horror clichés that will leave viewers straining to find something original in the proceedings."
rotten," Moore is as engaging as ever but the film's message is nonsense. It is more likely that France will become more like the USA than the other way around. That is how capitalism works, after all."
rotten," The same bland, lazy filmmaking Allen's been doing for years, only without the humor and with different accents."
rotten," When Pixels isn't focusing on its battles with Pac-Man, Donkey Kong and Centipede, it feels like a lot of other bad Sandler movies."
fresh, Mr. Right is aiming to be a tent-pole film that just happens to have a lot of dead bodies and just as many dutiful shots of the New Orleans skyline. The gambit may just work.
fresh, The right kind of trouble.
rotten," Most fans of costume drama don't head to the movies expecting explosive exit wounds, and few action fans are going to be wowed by ostentatious lapels."
fresh," A science-fiction masterpiece that's largely about our perceptions of time and our struggles to communicate...unexpectedly romantic and profound in its deeper concerns, by exploring the happy-sad nature of existence itself, of being born to die."
rotten," A high action, shoot 'em up flick that bombards your senses as well as your common sense."
rotten," The scenes focused on lukewarm dialogue outnumber the action scenes ten to one, giving the film a listless, low-energy vibe."
rotten," Instead of giving you the book, it leaves you with the unfulfilled sense of having leafed through an elegant, studiously captioned photo essay of the same material."
rotten," Goosebumps 2: Haunted Halloween does have a fair amount of bite for a PG-rated horror film, but the plot mechanics never quite come together, and it is also fairly predictable."
rotten, Derailed is a choo-choo bound for oblivion - - and making no stops for plausibility along the way.
fresh, Diary of a Country Priest in New York State. A fine Ethan Hawke and Amanda Seyfried. Ending is a bit off the rails.
rotten," With a little more anti-authoritarian spirit, The Perfect Score might have been a rousing call to arms for a whole generation."
rotten," The drama never feels more than a well-shot TV soap. Worse is Roos' tragic insistence on text inserts to explain every motivation, making the whole thing look like a fatal cross between Queer As Folk and VH1's Pop Up Video."
rotten," If nothing else, Watchmen is a commendable feat of art direction. As far as finding a narrative rhythm, however, the film could have stood a little rescuing itself."
fresh," Hey boyfriend/director has delivered Greta Gerwig a role tailor made for her, a vivid portrait of a New York ""type"" in the age of social media. "
fresh," Not Lubitsch at the top of his form, but good."
fresh," A complex portrait about a complex area of the country, where things are not as simple as everyone has been led to believe."
fresh," Good kitty! Superior in every way to its underwhelming predecessor, Garfield: A Tail of Two Kitties is a genuinely clever kidpic that should delight moppets, please parents -- and maybe tickle a few tweens."
rotten," The greatest stars in the world could not salvage something so ill-conceived, however, and neither can director Andy Tennant."
rotten," Hay en esta versión cinematográfica del video juego cierto espíritu clásico que invita a recuperar algo de aquella inocencia y que hace recordar, por momentos, a aventuras como las de Indiana Jones. Solo que El Príncipe de Persia difícilmente se convierta"
rotten," With a powerhouse cast and an anaemic script, this violent revenge thriller never quite gets off the ground."
rotten," Like the stroke of midnight, ""New Year's Eve"" disappears almost instantly, leaving little behind but limp streamers and the sense that, surely, there was a better party going on somewhere else."
fresh, Steady but slightly lacking.
rotten," The Nut Job 2 goes full throttle on the timely stuff, resulting in a (slightly) more thoughtful and entertaining outing."
fresh," If you're a fan of old-style Hong Kong martial arts movies, you should find Ong-Bak a blast. And even if not, you may be surprised at how much dumb fun it is."
rotten, There's something fundamentally disappointing about watching Raimi use his considerable resources to just make more wonderful scat.
rotten," The advantage of adapting Maurice Sendak's slim tome is that there is plenty of scope for interpretation; however, for the first time in his career, Jonze comes up short in the imagination department."
rotten," If this shrill, manipulative, sledge-hammer allegory is right for our times, give me Dante any day. Von Trier has certainly done better, but never worse. "
fresh," This 'toon doesn't lack heart amid all the high-flying antics, but it may have benefited from a heartier dose of imagination."
fresh," Watching ""Precious,"" you have to wonder--does it offer this year's inconvenient truth?"
rotten," Let's pick at the title of the programme...That ""almost"". What's it doing there? We're still paying for the banking crisis, financially and politically, so ""almost"" seems a bit tentative. A broken thing can be fixed--but that doesn't mean it didn't break."
rotten," Paying homage to his previous and better work, Reitman's new comedy is marked by one-idea story, sporadic humor that lacks wit, and cheesy special effects."
fresh," Visually stunning, capably presented, and utterly unnecessary, this final in the six-movie Tolkien cycle is just for the fans. "
fresh," Offbeat soundtrack selections and effective music by composer Andrew Harris help set the mood - ultimately genial and hopeful, and the movie is short and sweet."
fresh, Acrophobics beware: just watching Philippe Petit walk across Twin Towers will make you dizzy.
rotten, Interesting idea about empathy turns into disturbing fable.
fresh, A cheerfully cynical romantic comedy in which the romantic lead is also the villain -- and still somehow finds her way to a happy ending.
rotten," Unfunny ""comedy"" is crude, profane, drug-filled."
fresh," This isn't easy to watch. But it's compelling, disturbing, and, sadly, true to life."
fresh," For a film that's 95 percent talk, Lions for Lambs is admirably fast-paced, energized with something often missing in movies: ideas."
fresh, Knightley is up to the task. Her Georgiana is history with a human face.
fresh," What is most intriguing in the film are the words, indeed the presence, of Barnes himself."
fresh, The chilling beauty of the production is let down a little by a confused and increasingly senseless plot.
fresh," As art, Drive is extraordinary. As a film for general audiences, it's bound to be misunderstood, condemned as pornographic, or exploited for cheap thrills."
fresh, Bruno Dumont's employment of his bucolic French backdrop here attends to Hors Satan's muddying spiritual ambiguity.
fresh, A complicated cowboy flick where you're conflicted about whether to root for the guys in the white hats or the black hats by the time the big showdown arrives.
fresh," A quiet, contemplative noir thriller with a look and tone uncannily reminiscent of Hitchcock and a slow, brooding pace that at times undermines its effectiveness."
fresh," Jarmusch brings his arthouse sensibilities to the vampire genre, removing the focus from needless stereotypes and finding the humanity in the inhuman."
rotten," No matter how much lame macho talk there is about appreciating life after you've faced death, it's difficult to be moved by a guy who's facing danger that would be entirely preventable if he would just stop paddling right into it."
fresh," It is [Robert] Pattinson who shines. Once a vampire hunk, he has grown into the kind of actor the camera loves - even if preteen girls no longer will."
rotten, There are some good ideas here but they're buried under masses of conventional superhero dross and half hearted execution. This is one vigilante who should really just leave all the hard work to the police.
rotten," Although Diesel's flexathon is certainly the wrong message in the wrong time, the only harm it can do is through the aggregate culmination of like-minded films."
fresh, Well-restrained and rarely melodramatic
fresh, Surprisingly funny and smartly acted.
fresh, This is summer action done right.
rotten," It's his silliest film since 1990's The Rookie, only without the guilty pleasures of, say, watching Charlie Sheen burn down a bar using nothing more than his natural fire-breathing talents."
rotten," Spurlock, who revolutionized activist documentary filmmaking with Super Size Me, has set the genre back with this cinema equivalent of a glossy teen magazine cover."
rotten," An amped-up love-conquers-all fantasy, one replete with a dash to a church, a last minute declaration of love, and a cop-out conclusion that renders the preceding action pretty much irrelevant."
fresh," This isn't your daddy's James Bond. Gone is the shaken, not-stirred, martini-swilling, smart-assed letch that beds babes by the bunch."
fresh," The vision of the world expressed here is warm and lovely, full of irrepressible positivity. While all negativity is excluded from Wardrop's vision, life's darkness hovers outside the artfully constructed frame."
rotten," The latest fashioning of the almost 160-year-old narrative is lighthearted, as befitting its comic take on the tragic story, but also light on depth."
rotten," The Wannabe is too derivative for any insight, offering little more than tired tropes and bad accents."
rotten, A retread of just about every home-invasion movie of the past 50 years mixed with elements of torture porn and chick-flick romance.
rotten, Director Garry Marshall's ensemble romantic-comedy Valentine's Day is ultimately too superficial and slick to really touch the heart.
fresh," The by-play between the stars is riveting, with Deneuve boldly playing against type as a gluttonous, gambling harridan. Moreover, it's good to see a film exploring midlife ennui from a female perspective for a change."
rotten," A trashy, pandering camp homage to the cute quirks of homosexuality."
fresh," By the end, you actually want these two cardboard cutouts to get together."
fresh, It's undeniably effective and pretty engrossing. And there's something to be said for the unconventional way it sucks viewers in.
fresh, The immaculate Beyoncé Knowles and devastatingly handsome Idris Elba attack their silly parts with a ferocity the gives this dumpy little movie the spark it needs to be compelling.
fresh," The film looks great and Blunt gives a wonderfully confident performance, but the end result lacks real insights into what made Victoria the great and enduring queen she became."
rotten," What's on screen is stilted and dull, not helped by willowy blonde Helene Bergsholm in the lead, more suited to modeling than acting."
fresh," ""The Drop"" could have been an ordinary crime drama, but it's elevated by extraordinary performances."
rotten," It's a thoroughly unpleasant experience that, at best, is somewhat humorous as a sketch. At worst, it's an endless trudge through the mind of toxic, irresponsible man-children."
rotten," ""Jobs"" gets tripped up by the same old biopic problems: it's too much of a greatest-hits overview, not enough of an incisive dive into its subject."
rotten, Rosi completely fails to connect the two sides of the story together.
fresh," If Douglas Sirk had directed a film noir written by Billy Wilder, it might have looked something like the latest thoughtful tangle of philosophy and whimsy from the Coen Brothers. "
fresh, Gleefully demonstrates that a barely convincing narrative and nearly two hours of sci-fi spectacle can still entertain.
rotten," While film fans might enjoy DePalma's stylistic homages to Hitchcock, and John Lithgow's total commitment to concept and character, there is little else to recommend about Raising Cain. "
fresh, Has the anarchistic and madcap charm of an old Chuck Jones Warner Brothers movie.
fresh," Simón's touching, tender autobiography falls in between the greats like THE 400 BLOWS and PONETTE, yet is completely unique and deeply personal."
fresh, The film would be nasty if it weren't clever (and sometimes horribly funny).
fresh, A true work of art from [director] Sam Mendes...
rotten," Purees your brain for two hours...proudly and pointedly credited as 'A Frank Coraci Movie'-not a film, y'hear? Nerd-os, go home!"
fresh," [Jolie]'s oozing that mysterious charisma that's half dazzling intelligence and half riveting talent and half the magic of the gods of Hollywood smiling on her, and through her."
rotten, An old-fashioned weepie buffed to a Masterpiece Theater gloss.
rotten," When the action is at its sharpest, such as with Henry's mid-chase leap from a detonating truck onto the back of a motorcycle, it's spectacular. Other times, it can be as wearying as generically hyper-edited Hollywood fare."
fresh," A simmering stew, albeit one that never quite boils over"
fresh, You'll leave the theater a better person.
fresh, It is Foster and Howard's performances that really help this movie rise above just a revenge fantasy.
fresh, Narratively bereft...thematically redundant...[but] fans of the series and fanboy grumblers may have to agree that The Battle of the Five Armies is often entertaining.
rotten," Bug straddles the lines of genre seediness and high art pretension, but it's not enough of a cheap thrill or mindbender to succeed at either."
fresh, The Guilty is an entertaining and inventive thriller that contains a few interesting twists and some top-notch performances and sound design.
fresh," Get Out is a great movie for people who dislike or dismiss horror expecting ""gratuitous"" explicit violence and nudity, because of its humor, PG sex scenes, and the analogies drawn to contemporary lived experiences of race relations. "
rotten," To call God's Not Dead 2 ""bad"" would be doing this abomination of a movie a disservice. It is not only a bad movie, but in fact it's more than that."
fresh," Unlike his earlier works, though, [John Cameron Mitchell] turns the writing task over to the play's author, Lindsay-Abaire, making Rabbit Hole a hired gun kind of film."
fresh," The joy of seeing Martin Lawrence again onstage, telling jokes, supersedes for his fans the content of his message."
rotten," Hamlet 2 is a likable movie even as it careens around like a wagging tail, but it's just too uneven."
rotten," The over-the-top performances would usually be suitable for this style of musical romp but the story, songs and dance numbers are not strong enough to sustain such hammy performances."
fresh, La Camioneta succeeds by telling the bus's story while also expanding upon the different people who have now become a part of the bus's orbit.
fresh," 'Norman' is a reminder of Gere's specific gifts as an actor, and how they've been taken for granted far too long."
fresh," Damien Chazelle, by looking unromantically at how NASA's Apollo program hurled astronauts onto the face of the moon, has made the most inspiring big-studio film in years. Maybe decades."
fresh," While not as comprehensive or objective as one would hope, this vivid documentary will prove fascinating to history buffs."
fresh, ...wily and engaging...
rotten," ...nobody -- not the audience, and certainly not the cast -- deserves a clunker like this."
